event,operation,time,pkgSize,numSuccessors,version
convergence,add,0.231,1048663,3,1
convergence,remove,0.1,91,3,2
convergence,add,0.006,91,3,3
convergence,remove,0.009,91,3,4
convergence,add,0.006,85,3,5
convergence,remove,0.009,4183,3,6
convergence,add,0.006,148,3,7
convergence,remove,0.005,4183,3,8
convergence,add,0.891,4194381,3,9
convergence,remove,0.829,4194381,3,9
convergence,remove,0.007,96,3,11
convergence,add,0.007,1102,3,12
convergence,add,0.006,95,3,13
convergence,remove,0.005,87,3,14
convergence,add,0.007,95,3,15
convergence,remove,0.006,146,3,16
convergence,add,0.01,80,3,17
