event,time,pkgSize,numSuccessors,implementation
client_welcome,0.015,63,1,new
client_welcome,0.013,77,2,new
client_welcome,0.012,91,3,new
client_welcome,0.012,105,4,new
client_welcome,0.016,119,5,new
client_welcome,0.015,68,1,new
client_welcome,0.031,82,2,new
client_welcome,0.085,110,4,new
client_welcome,0.075,96,3,new
client_welcome,0.029,86,1,new
client_welcome,0.059,100,2,new
client_welcome,0.068,114,3,new
client_welcome,0.039,98,1,new
client_welcome,0.045,112,2,new
client_welcome,0.026,113,1,new
client_welcome,0.112,134,1,new
client_welcome,0.066,148,2,new
client_welcome,0.045,162,3,new
client_welcome,0.016,176,4,new
client_welcome,0.012,190,5,new
client_welcome,0.028,134,1,new
client_welcome,0.045,148,2,new
client_welcome,0.069,162,3,new
client_welcome,0.079,176,4,new
client_welcome,0.017,134,1,new
client_welcome,0.033,148,2,new
client_welcome,0.063,162,3,new
client_welcome,0.045,150,1,new
client_welcome,0.055,164,2,new
client_welcome,0.012,159,1,new
