event,operation,time,pkgSize,numSuccessors,version,implementation
convergence,add,0.011,333,5,1,new
convergence,remove,0.007,81,5,2,new
convergence,add,0.007,81,5,3,new
convergence,remove,0.006,81,5,4,new
convergence,add,0.009,141,5,5,new
convergence,remove,0.007,96,5,6,new
convergence,add,0.006,93,5,7,new
convergence,add,0.023,89,4,8,new
convergence,remove,0.006,95,4,9,new
convergence,add,0.007,90,4,10,new
convergence,remove,0.007,93,4,11,new
convergence,add,0.009,105,4,12,new
convergence,remove,0.008,1116,4,13,new
convergence,add,0.007,345,4,14,new
convergence,add,0.007,4180,3,15,new
convergence,remove,0.006,1111,3,16,new
convergence,add,0.005,85,3,17,new
convergence,remove,0.007,87,3,18,new
convergence,add,0.006,340,3,19,new
convergence,remove,0.006,88,3,20,new
convergence,add,0.005,85,3,21,new
convergence,add,0.005,4183,2,22,new
convergence,remove,0.005,106,2,23,new
convergence,add,0.206,1048663,2,24,new
convergence,remove,0.005,106,2,25,new
convergence,add,0.004,103,2,26,new
convergence,remove,0.005,106,2,27,new
convergence,add,0.004,91,2,28,new
convergence,add,0.005,108,1,29,new
convergence,remove,0.003,159,1,30,new
convergence,add,0.004,93,1,31,new
convergence,remove,0.004,1119,1,32,new
convergence,add,0.004,96,1,33,new
convergence,remove,0.005,159,1,34,new
convergence,add,0.004,93,1,35,new
convergence,add,0.008,148,5,43,new
convergence,remove,0.007,343,5,44,new
convergence,add,0.007,340,5,45,new
convergence,remove,0.009,4183,5,46,new
convergence,add,0.008,148,5,47,new
convergence,remove,0.006,343,5,48,new
convergence,add,0.007,148,5,49,new
convergence,add,3.472,90,4,50,new
convergence,add,0.007,90,4,50,new
convergence,remove,0.006,156,4,51,new
convergence,add,0.006,345,4,52,new
convergence,remove,0.006,108,4,53,new
convergence,add,0.007,90,4,54,new
convergence,remove,0.007,93,4,55,new
convergence,add,0.01,105,4,56,new
convergence,remove,0.006,156,4,57,new
convergence,add,0.006,90,4,58,new
convergence,add,0.01,152,3,59,new
convergence,remove,0.005,1115,3,60,new
convergence,add,0.004,89,3,61,new
convergence,remove,0.005,92,3,62,new
convergence,add,0.005,344,3,63,new
convergence,remove,0.006,107,3,64,new
convergence,add,0.006,104,3,65,new
convergence,remove,0.005,1115,3,66,new
convergence,add,0.006,344,3,67,new
convergence,add,0.006,1105,2,68,new
convergence,remove,0.003,148,2,69,new
convergence,add,0.008,145,2,70,new
convergence,remove,0.006,1108,2,71,new
convergence,add,0.005,337,2,72,new
convergence,remove,0.005,85,2,73,new
convergence,add,0.004,1105,2,74,new
convergence,add,0.006,4177,1,75,new
convergence,remove,0.004,1108,1,76,new
convergence,add,0.004,1105,1,77,new
convergence,remove,0.005,100,1,78,new
convergence,add,0.003,145,1,79,new
convergence,remove,0.003,85,1,80,new
convergence,add,0.003,97,1,81,new
convergence,remove,0.003,340,1,82,new
convergence,add,0.003,82,1,83,new
