event,time,pkgSize,numSuccessors,implementation
client_welcome,0.062,63,1,old
client_welcome,0.049,77,2,old
client_welcome,0.04,91,3,old
client_welcome,0.055,105,4,old
client_welcome,0.047,119,5,old
client_welcome,64.139,122,4,old
client_welcome,64.079,80,1,old
client_welcome,64.095,94,2,old
client_welcome,64.109,108,3,old
client_welcome,59.176,122,4,old
client_welcome,59.114,80,1,old
client_welcome,59.13,94,2,old
client_welcome,59.144,108,3,old
client_welcome,54.14,122,4,old
client_welcome,47.137,80,1,old
client_welcome,44.031,94,2,old
client_welcome,33.987,108,3,old
client_welcome,18.804,122,4,old
client_welcome,13.086,102,1,old
client_welcome,13.077,130,3,old
client_welcome,15.181,130,3,old
client_welcome,7.948,102,1,old
client_welcome,7.986,130,3,old
client_welcome,10.1,130,3,old
client_welcome,1.004,102,1,old
client_welcome,1.038,130,3,old
client_welcome,0.042,130,3,old
client_welcome,12.009,110,1,old
client_welcome,12.03,124,2,old
client_welcome,6.977,110,1,old
client_welcome,6.998,124,2,old
client_welcome,0.047,110,1,old
client_welcome,0.067,124,2,old
client_welcome,12.03,123,1,old
client_welcome,6.987,123,1,old
client_welcome,0.043,123,1,old
client_welcome,0.039,132,1,old
client_welcome,0.042,146,2,old
client_welcome,0.044,160,3,old
client_welcome,0.146,174,4,old
client_welcome,0.108,188,5,old
client_welcome,28.261,149,1,old
client_welcome,28.272,163,2,old
client_welcome,28.337,177,3,old
client_welcome,30.281,191,4,old
client_welcome,23.225,149,1,old
client_welcome,23.236,163,2,old
client_welcome,23.301,177,3,old
client_welcome,25.246,191,4,old
client_welcome,16.277,149,1,old
client_welcome,16.288,163,2,old
client_welcome,8.197,177,3,old
client_welcome,0.045,191,4,old
client_welcome,12.095,175,2,old
client_welcome,12.121,175,2,old
client_welcome,12.168,189,3,old
client_welcome,7.061,175,2,old
client_welcome,7.082,175,2,old
client_welcome,7.127,189,3,old
client_welcome,0.059,175,2,old
client_welcome,0.08,175,2,old
client_welcome,0.126,189,3,old
client_welcome,12.028,176,1,old
client_welcome,12.065,190,2,old
client_welcome,6.981,176,1,old
client_welcome,7.019,190,2,old
client_welcome,0.051,176,1,old
client_welcome,0.088,190,2,old
client_welcome,12.01,188,1,old
client_welcome,6.979,188,1,old
client_welcome,0.043,188,1,old
