event,operation,time,pkgSize,numSuccessors,version,implementation
convergence,add,0.046,153,5,1,old
convergence,remove,0.056,1116,5,2,old
convergence,add,0.044,93,5,3,old
convergence,remove,0.049,93,5,4,old
convergence,add,0.026,105,5,5,old
convergence,remove,0.039,96,5,6,old
convergence,add,0.027,105,5,7,old
convergence,add,0.027,108,4,8,old
convergence,remove,0.031,351,4,9,old
convergence,add,0.049,157,4,10,old
convergence,remove,0.043,4192,4,11,old
convergence,add,0.029,97,4,12,old
convergence,remove,0.027,160,4,13,old
convergence,add,0.442,1048669,4,14,old
convergence,add,0.022,144,3,15,old
convergence,remove,0.035,99,3,16,old
convergence,add,0.026,336,3,17,old
convergence,remove,0.023,147,3,18,old
convergence,add,0.022,96,3,19,old
convergence,remove,0.026,339,3,20,old
convergence,add,0.023,1104,3,21,old
convergence,add,0.02,1109,2,22,old
convergence,remove,0.018,152,2,23,old
convergence,add,0.07,101,2,24,old
convergence,remove,0.021,92,2,25,old
convergence,add,0.02,341,2,26,old
convergence,remove,0.023,104,2,27,old
convergence,add,0.441,1048661,2,28,old
convergence,add,0.019,145,1,29,old
convergence,remove,0.02,100,1,30,old
convergence,add,0.263,1048657,1,31,old
convergence,remove,0.015,85,1,32,old
convergence,add,0.018,82,1,33,old
convergence,remove,0.021,88,1,34,old
convergence,add,0.016,97,1,35,old
convergence,add,0.055,105,5,36,old
convergence,remove,0.048,1116,5,37,old
convergence,add,0.032,90,5,38,old
convergence,remove,0.041,1116,5,39,old
convergence,add,0.045,105,5,40,old
convergence,remove,0.042,108,5,41,old
convergence,add,0.029,105,5,42,old
convergence,add,0.025,100,4,43,old
convergence,remove,0.024,91,4,44,old
convergence,add,0.023,148,4,45,old
convergence,remove,0.027,88,4,46,old
convergence,add,0.044,1108,4,47,old
convergence,remove,0.026,88,4,48,old
convergence,add,0.023,85,4,49,old
convergence,add,0.041,91,3,50,old
convergence,remove,0.403,1048666,3,51,old
convergence,add,0.044,88,3,52,old
convergence,remove,0.031,154,3,53,old
convergence,add,0.022,91,3,54,old
convergence,remove,0.038,106,3,55,old
convergence,add,0.028,4183,3,56,old
convergence,add,0.019,340,2,57,old
convergence,remove,0.349,1048663,2,58,old
convergence,add,0.035,1108,2,59,old
convergence,remove,0.021,103,2,60,old
convergence,add,0.026,4180,2,61,old
convergence,remove,0.028,103,2,62,old
convergence,add,0.031,340,2,63,old
convergence,add,0.029,157,1,64,old
convergence,remove,0.015,1120,1,65,old
convergence,add,0.024,4189,1,66,old
convergence,remove,0.015,112,1,67,old
convergence,add,0.013,157,1,68,old
convergence,remove,0.261,1048672,1,69,old
convergence,add,0.023,109,1,70,old
